name,summary,top_quote
AJ Barner,Mixed: a blocking-first SEA TE with red-zone sneak upside - a deep streamer.,
Gunnar Helm,Speculative rookie TE: TEN coaches like him - a developmental dart.,
Tre' Harris,Bullish sleeper rookie WR: a well-rounded LAC profile - an upside dart if targets come.,
Nick Singleton,Mixed: an explosive TEN rookie battling for RB2 - a contingency dart.,
Tank Dell,Mixed: an explosive HOU slot returning from major injury - a board window-winner dart if healthy.,
Germie Bernard,Speculative rookie WR dart - depth role.,
David Njoku,"Mixed: a target-secure CLE TE, but offense/QB and Jeudy competition cap the ceiling - a mid streamer.",
Calvin Ridley,"Mixed: a veteran TEN deep target, but age and weak QB play cap him - a boom-bust dart.",
Emanuel Wilson,Bearish: a GB depth back falling in value - a deep dart only.,
Greg Dulcich,Speculative: an athletic TE with a thin role - a dart.,
Cooper Kupp,"Mixed: a savvy veteran slot (SEA) and board window-winner, but age/health cap the ceiling - a PPR-floor dart.",
Kaytron Allen,Speculative rookie RB dart - blocked by veterans.,
Tua Tagovailoa,"Mixed: an accurate passer, but low rushing and a new ATL situation cap the QB ceiling - a streamer.",
Adonai Mitchell,Bullish sleeper: elite separation vs man and a board ascender flag - a high-upside breakout dart (NYJ).,
Ted Hurst,Speculative rookie WR dart - developmental.,
Pat Freiermuth,"Mixed: a steady PIT TE, but a 3-WR scheme caps targets - a low-ceiling streamer.",
Eli Stowers,Speculative rookie TE dart - deep.,
Braelon Allen,Mixed: a power handcuff (NYJ) with standalone upside if Breece misses - a contingency dart.,
Brandon Aiyuk,Mixed: a talented SF WR returning from injury - an upside dart if healthy and targeted.,
Mike Washington Jr.,Speculative rookie RB dart - depth.,
Chris Bell,Speculative deep WR dart - thin signal.,
Kayshon Boutte,Mixed: NE talent with availability/role flags (missed workouts) - a volatile dart.,
Christian Kirk,"Mixed: a veteran slot with a PPR floor when healthy, but durability/role caps it - a dart.",
MarShawn Lloyd,Speculative: a GB change-of-pace dart with upside if healthy.,
Dontayvion Wicks,Speculative: a GB depth WR dart - contingency.,
Deshaun Watson,Bearish: a declined CLE QB - no fantasy role expected.,
Malachi Fields,Speculative rookie WR dart.,
Terrance Ferguson,Bullish sleeper rookie TE: developmental flashes (LAR) - an upside dart.,
Keon Coleman,Mixed: a big-bodied BUF deep threat with boom weeks but consistency/role questions - a boom-bust dart.,
Darnell Mooney,Mixed: a veteran ATL deep threat falling in value - a dart.,
Shedeur Sanders,Speculative rookie QB dart - no 2026 role expected.,
Kaelon Black,Speculative deep RB dart - thin signal.,
James Conner,"Mixed: a proven ARI back, but age and a possible move cloud it - a volume dart.",
Kirk Cousins,Bearish: a stationary veteran backup (ATL) - no role barring an injury.,
Chris Brazzell II,Speculative rookie WR dart - developmental upside.,
Tory Horton,Speculative: a deep SEA WR dart.,
Jordan James,Speculative: an SF depth back - a CMC handcuff dart.,
Evan Engram,Mixed: a move-TE with PPR target upside (DEN) - a mid streamer if healthy.,
Jaydon Blue,Speculative rookie RB dart - DAL committee.,
Demond Claiborne,Speculative deep RB dart.,
Elijah Sarratt,Speculative deep WR dart.,
Ty Simpson,"Speculative rookie QB dart - dynasty buzz, no 2026 role.",
Pat Bryant,Speculative deep WR dart.,
Justin Fields,Bullish late: the #1 QB in rushing XFP and the playbook's mandatory late add - an elite rushing floor at minimal cost.,
